id,question,answer
1,How many rounds does Tawaf consist of?,Tawaf consists of seven rounds around the Kaaba.
2,How many rounds are in Tawaf?,Tawaf consists of seven rounds around the Kaaba.
3,Does Tawaf begin from the Black Stone?,"Yes, each round begins and ends at the Black Stone."
4,Where do I start Tawaf?,Start from the Black Stone and walk counterclockwise around the Kaaba.
5,What is the direction of Tawaf?,Tawaf is performed counterclockwise with the Kaaba on your left.
6,Is ablution (wudu) required for Tawaf?,The majority of scholars require ritual purity (wudu) for Tawaf to be valid.
7,Is Tawaf valid without ablution?,"Ablution is required for Tawaf; if you are unable, consult your religious guide."
8,What is the ruling on interrupting Tawaf and then completing it?,"If Tawaf is interrupted for a valid reason, most scholars allow you to resume from where you stopped, though it is safer to repeat the interrupted round."
9,What should I do if I lose count of my Tawaf rounds?,Build on the lesser (certain) number and continue until you complete seven rounds.
10,Is there a specific supplication for each round of Tawaf?,There is no fixed supplication for each round; supplicate and remember Allah as you wish.
11,What is the supplication between the Yemeni Corner and the Black Stone?,"It is recommended to say: Our Lord, give us good in this world and good in the Hereafter, and protect us from the punishment of the Fire."
12,Should I touch the Black Stone?,"If possible without harming others, touch and kiss it; otherwise point toward it with your hand and say Allahu Akbar."
13,How do I gesture toward the Black Stone?,"Point your hand toward it, say Allahu Akbar, then continue your Tawaf."
14,Should I touch the Yemeni Corner?,It is recommended to touch the Yemeni Corner with your hand if possible without harm; it is not kissed.
15,Should I gesture toward the Yemeni Corner like the Black Stone?,"No, it is not prescribed to gesture toward the Yemeni Corner if you cannot touch it."
16,What is Idtiba and when is it done?,Idtiba is uncovering the right shoulder by placing the garment under the right armpit; it is done during the arrival Tawaf for men only.
19,Is Tawaf inside the Hijr (Hijr Ismail) valid?,"No, because the Hijr is part of the Kaaba; Tawaf must be performed outside it."
20,Is it permissible to perform Tawaf on the upper floors?,"Yes, performing Tawaf on the upper floors is permissible when crowded."
21,When should I pray the two Tawaf rak'ahs?,Immediately after completing Tawaf if possible; otherwise pray them anywhere in the Grand Mosque.
22,Where should I pray the two Tawaf rak'ahs?,Preferably behind Maqam Ibrahim if possible without crowding; otherwise anywhere in the Grand Mosque.
23,Are the two Tawaf rak'ahs obligatory?,They are a confirmed Sunnah according to most scholars.
24,What should I recite in the two Tawaf rak'ahs?,It is recommended to recite Al-Kafirun in the first and Al-Ikhlas in the second after Al-Fatiha.
25,What is Sa'i between Safa and Marwa?,Sa'i is walking seven times between Safa and Marwa after Tawaf.
26,How many rounds does Sa'i consist of?,"Sa'i consists of seven rounds, starting at Safa and ending at Marwa."
27,Where does Sa'i begin?,Sa'i begins at Safa and ends at Marwa.
28,Does Sa'i end at Safa or Marwa?,Sa'i ends at Marwa on the seventh round.
29,Is there a specific supplication for Sa'i?,There is no fixed supplication for each round; supplicate and remember Allah as you wish.
30,What should I say at Safa and Marwa?,"Face the Qibla, say Allahu Akbar, Tahlil, praise Allah, and supplicate as you are able."
31,Is jogging between the two green markers required for women?,Jogging between the two green markers is for men; women walk at a normal pace.
32,Is ablution required for Sa'i?,"Ablution is not a condition for the validity of Sa'i, but it is preferred."
33,Is it permissible to perform Sa'i in a wheelchair?,"Yes, it is permissible for those who are unable to walk or would be harmed by it."
34,What should I do if I lose count of my Sa'i rounds?,Build on the lesser (certain) number and continue until you complete seven rounds.
35,What is Ihram?,"Ihram is the intention to enter the state of pilgrimage, accompanied by wearing the Ihram garments for men and reciting the Talbiyah after the intention."
36,What is the intention for Umrah?,"Intend in your heart to enter Umrah, then recite: Labbayk Umrah."
37,What is the intention for Hajj?,"Intend in your heart to enter Hajj, then recite: Labbayk Hajjan."
38,When should I enter Ihram for Umrah?,Enter Ihram at the designated Miqat before entering Makkah.
39,What is the Miqat?,The Miqat is a designated place beyond which no one intending pilgrimage may pass without being in a state of Ihram.
40,Is it permissible to enter Ihram before the Miqat?,"It is permissible to enter Ihram before the Miqat, but it is better to do so at the Miqat."
41,What should I do if I pass the Miqat without Ihram?,Return to the Miqat and enter Ihram if possible; otherwise you owe a penalty offering according to most scholars — consult your religious guide.
42,What is the Talbiyah?,"The Talbiyah is: Labbayk Allahumma Labbayk, Labbayk La Shareeka Laka Labbayk, Innal Hamda Wan-Ni'mata Laka Wal-Mulk, La Shareeka Lak."
43,When do I begin the Talbiyah?,"Immediately after the intention of Ihram; it continues until beginning Tawaf for Umrah, or until stoning Jamrat Al-Aqabah for Hajj."
44,Is it permissible for a male pilgrim to cover his head?,A male pilgrim may not cover his head with anything that fits snugly against it.
45,Is it permissible for a male pilgrim to wear sewn garments?,Men may not wear sewn garments tailored to fit the body during Ihram.
46,Is a female pilgrim allowed to wear the niqab or gloves?,"A female pilgrim may not wear a niqab or gloves, but she should cover her face in front of unrelated men without a niqab."
47,Is it permissible to use perfume during Ihram?,Using perfume after entering Ihram is not allowed; it is permissible before making the intention of Ihram.
48,Is it permissible to cut hair or nails during Ihram?,A pilgrim may not cut hair or nails during Ihram except for a legitimate reason.
49,What is exiting Ihram (Tahallul) in Umrah?,"After completing Sa'i, a man shaves or shortens his hair, thereby exiting the state of Ihram from Umrah."
50,Is shaving better than shortening hair in Umrah?,Shaving is better for men; shortening is permissible. Women must only shorten their hair.
51,How much hair should a woman cut for Umrah?,She cuts approximately a fingertip's length from the ends of her hair.
52,When does a woman exit Ihram from Umrah?,After completing Sa'i and then shortening her hair.
53,Is the order of Umrah rituals required?,"Yes: Ihram, then Tawaf, then two rak'ahs, then Sa'i, then shaving or shortening hair."
54,What is the brief order of Umrah steps?,Ihram from Miqat → Tawaf 7 → Two Tawaf rak'ahs → Sa'i 7 → Shave/shorten.
55,What should I do if I reach Makkah before Ihram while intending Umrah?,"Do not pass the Miqat without Ihram; if it happens, try to return to the Miqat and consult your religious guide."
56,Is it permissible to repeat Umrah in the same trip?,"It is permissible according to most scholars; Ihram for the second Umrah is entered from outside the Haram boundary, such as Al-Tan'im."
57,Where do I enter Ihram for a second Umrah while inside Makkah?,"Enter Ihram from outside the Haram boundary, such as Masjid Aisha (Al-Tan'im) or Al-Ji'ranah."
58,Can Tawaf and Sa'i be performed at any time?,"Yes, Tawaf and Sa'i can be performed at any time, day or night, as convenient."
59,Is it permissible to perform Tawaf or Sa'i during heavy crowding?,"It is permissible, while ensuring safety, avoiding harm to others, and choosing less crowded floors if possible."
60,What are the conditions of Hajj for women?,A woman must have a mahram (male guardian) to travel with her; the mahram is her husband or a permanently unmarriageable male relative.
61,What are the conditions that make Hajj obligatory?,"Islam, sanity, adulthood, freedom, financial and physical ability, safe route, sufficient time, and fulfillment of debts and necessary expenses."
62,What are the conditions of Hajj?,"Islam, sanity, adulthood, freedom, financial and physical ability, safe route, sufficient time, and fulfillment of debts and necessary expenses."
63,What is Ihram?,Ihram means the intention to enter the state of pilgrimage (Hajj or Umrah). It is not merely the act of wearing the garments. Ihram begins with the intention and the Talbiyah.
64,What is the concept of Ihram?,Ihram means the intention to enter the state of pilgrimage. It begins with the intention and the Talbiyah.
65,What are the recommended acts before entering Ihram?,"Bathing (even for a menstruating woman), cleansing oneself, applying perfume to the body before Ihram, and removing sewn garments."
66,What are the Sunnah acts before Ihram?,"Bathing, cleansing oneself, applying perfume to the body before Ihram, and removing sewn garments."
67,What are the prohibitions of Ihram?,"Shaving hair, cutting nails, covering the head for men, wearing sewn garments for men, using perfume, hunting land animals, contracting marriage, intercourse, and foreplay."
68,What are the Ihram prohibitions?,"Shaving hair, cutting nails, covering the head for men, wearing sewn garments for men, using perfume, hunting land animals, contracting marriage, intercourse, and foreplay."
69,What is the ruling on covering the head during Ihram?,Covering the head of a male with a snug-fitting item is prohibited and requires an expiation (fidyah).
70,What is the ruling on wearing sewn garments during Ihram?,A man may not wear sewn garments during Ihram and must pay an expiation if he does.
71,What is the ruling on perfume during Ihram?,A pilgrim may not use perfume on their body or clothing during Ihram; expiation is required if used.
72,Is using perfume allowed during Ihram?,A pilgrim may not use perfume on their body or clothing during Ihram; expiation is required if used.
73,What is the ruling on performing Umrah on behalf of a deceased person?,It is permissible to perform Umrah on behalf of a deceased person; the proxy must have performed their own Umrah first.
74,Can I perform Umrah on behalf of a deceased person?,"Yes, it is permissible; the proxy must have performed their own Umrah first."
75,Is it permissible to wear a belt over Ihram garments?,There is no harm in wearing a belt while in Ihram; it is permitted when needed.
76,Is wearing a belt over Ihram allowed?,There is no harm in wearing a belt while in Ihram; it is permitted when needed.
77,What is the time for stoning the three Jamarat during the days of Tashreeq?,Stoning the three Jamarat begins after midday (Zawal) on each of the three days of Tashreeq.
78,What is the time for stoning the Jamarat?,Stoning the three Jamarat begins after midday on each of the three days of Tashreeq.
79,Is kissing the Black Stone permissible?,"Yes, kissing the Black Stone is a prescribed Sunnah during Tawaf for those who can reach it without harming others."
80,What does drinking Zamzam water to satisfaction mean?,It means drinking Zamzam water until the body is fully satisfied and satiated.
81,Is it permissible to use perfume while in Ihram for Umrah?,"A pilgrim may not use perfume such as musk, oud, or saffron after entering Ihram."
82,What is the ruling on performing Umrah on behalf of a living person?,It is permissible to perform Umrah on behalf of a living person who is unable to do so themselves.
83,Can I perform Umrah on behalf of a living person?,"Yes, it is permissible if the person is unable to perform it themselves."
84,What are the days of Tashreeq?,"The days of Tashreeq are the three days following Eid Al-Adha: the 11th, 12th, and 13th of Dhul Hijjah."
85,How does a woman enter Ihram for Hajj?,"A woman enters Ihram by making the intention in her heart upon reaching the Miqat, then begins reciting the Talbiyah without any specific required garment."
86,What things are forbidden for a pilgrim in Hajj or Umrah?,"The prohibitions of Ihram include cutting hair, clipping nails, using perfume, wearing sewn garments for men, covering the head for men, hunting, contracting marriage, and intercourse."
87,What is the definition of Hajj?,"Hajj is the pilgrimage to the House of Allah at a specific time to perform specific rites such as Tawaf, Sa'i, and standing at Arafah."
88,What is the definition of Umrah?,"Umrah is a visit to the House of Allah to perform specific rites including Ihram, Tawaf, Sa'i, and then shaving or shortening the hair."
89,What is the ruling on Hajj in Islam?,Hajj is one of the five pillars of Islam and is obligatory once in a lifetime for every able Muslim.
90,What is the ruling on Hajj?,Hajj is one of the five pillars of Islam and is obligatory once in a lifetime for every able Muslim.
91,What are the conditions for Hajj to be obligatory?,"The conditions are: Islam, sanity, adulthood, freedom, and ability."
92,What are the conditions of Hajj?,"The conditions are: Islam, sanity, adulthood, freedom, and ability."
93,What is meant by ability for Hajj?,Ability means having the physical and financial capacity to perform Hajj along with a safe route.
94,What are the pillars of Hajj?,"The four pillars of Hajj are: Ihram, standing at Arafah, Tawaf Al-Ifadah, and Sa'i between Safa and Marwa."
95,What are the obligations of Hajj?,"The obligations include: Ihram from the Miqat, standing at Arafah until sunset, staying at Muzdalifah, stoning the Jamarat, staying at Mina, and the farewell Tawaf."
96,What is Ihram?,Ihram is the intention to enter the state of Hajj or Umrah accompanied by the Talbiyah.
97,What is standing at Arafah?,Standing at Arafah means the pilgrim being present at Arafah on the 9th of Dhul Hijjah; it is the greatest pillar of Hajj.
98,What is Tawaf Al-Ifadah?,Tawaf Al-Ifadah is the Tawaf performed by the pilgrim on the day of sacrifice after standing at Arafah; it is a pillar of Hajj.
99,What is Sa'i between Safa and Marwa?,Sa'i is walking seven times between Safa and Marwa after Tawaf.
100,What are the prohibitions of Ihram?,"The prohibitions include removing hair or nails, using perfume after Ihram, wearing sewn garments for men, covering the head for men, and intercourse."
101,What is the ruling for one who abandons a pillar of Hajj?,"Whoever abandons a pillar of Hajj, their Hajj is invalid until they perform it."
102,What is the ruling for one who abandons an obligation of Hajj?,Whoever abandons an obligation of Hajj must slaughter a sheep as expiation according to most scholars.
103,What are the steps of Umrah in order?,"Umrah begins with Ihram from the Miqat with the intention and wearing Ihram garments, then Tawaf of seven rounds and two rak'ahs, then Sa'i seven rounds, then shaving or shortening hair to exit Ihram."
104,What are the steps of Umrah?,"Umrah begins with Ihram from the Miqat, then Tawaf seven rounds, then Sa'i seven rounds, then shaving or shortening hair."
105,How do I perform Umrah?,"Enter Ihram at the Miqat with the intention, perform Tawaf seven rounds, then Sa'i seven rounds, then shave or shorten your hair."
106,How do I begin Umrah?,"Enter Ihram at the Miqat with the intention, perform Tawaf seven rounds, then Sa'i seven rounds, then shave or shorten your hair."
107,What should I do after Sa'i?,"It is recommended to supplicate and remember Allah, then shave or shorten hair for men, and shorten only for women, to complete Umrah."
108,What is the order of Hajj rituals?,"Hajj begins with Ihram at the Miqat, then arrival Tawaf and Sa'i, then heading to Mina on the day of Tarwiyah (8th), then standing at Arafah (9th), then staying at Muzdalifah and stoning Jamrat Al-Aqabah, sacrifice and exit from Ihram, Tawaf Al-Ifadah, stoning the Jamarat on the days of Tashreeq, and concluding with the farewell Tawaf."
109,How do I perform Hajj?,"Enter Ihram at the Miqat, perform arrival Tawaf and Sa'i, go to Mina, stand at Arafah, stay at Muzdalifah, stone Jamrat Al-Aqabah, sacrifice, perform Tawaf Al-Ifadah, stone the Jamarat, then perform the farewell Tawaf."
110,What are the steps of Hajj?,Ihram at the Miqat → arrival Tawaf → Mina → Arafah → Muzdalifah → stone Jamrat Al-Aqabah → sacrifice → Tawaf Al-Ifadah → stone Jamarat → farewell Tawaf.
111,What should a woman do if she gets her period during Tawaf?,"She must stop Tawaf immediately, wait in Makkah until she is pure, then she can complete Tawaf, Sa'i, and shortening her hair to finish Umrah."
112,What should a woman do if she gets her period after intending Umrah?,"She must remain in her Ihram until she is pure, after which she can perform Tawaf and Sa'i to complete her Umrah."
113,Is purity required for Tawaf and Sa'i?,Neither a woman nor a man may perform Tawaf without ablution; purity is a condition for valid Tawaf according to the majority of scholars.
114,Is it permissible for a woman to perform Tawaf without ablution?,A woman may not perform Tawaf without ablution; purity is a condition for valid Tawaf according to the majority of scholars.
115,What are the days of Tashreeq?,"The days of Tashreeq are the three days following Eid Al-Adha: the 11th, 12th, and 13th of Dhul Hijjah, during which pilgrims stone the Jamarat in Mina."
116,When does Hajj begin?,"Hajj officially begins on the 8th of Dhul Hijjah, known as the day of Tarwiyah, and continues until the 13th."
117,When does Hajj start?,Hajj officially begins on the 8th of Dhul Hijjah (day of Tarwiyah) and continues until the 13th.
118,What is the supplication between the Yemeni Corner and the Black Stone?,"It is Sunnah to say: Our Lord, give us good in this world and good in the Hereafter, and protect us from the punishment of the Fire."
119,What is the supplication for entering the mosque?,It is recommended to step in with the right foot and recite the prescribed supplication for entering the mosque.
120,When are the two Tawaf rak'ahs prayed in Umrah?,"They are prayed immediately after Tawaf, preferably behind Maqam Ibrahim if possible."
121,What is recited in the two Tawaf rak'ahs?,"Al-Kafirun is recited in the first rak'ah after Al-Fatiha, and Al-Ikhlas in the second."
122,What should someone do who forgot the two Tawaf rak'ahs?,They should pray them whenever they remember; they are a confirmed Sunnah that is not dropped due to forgetfulness.
123,Can the two Tawaf rak'ahs be prayed anywhere inside the Grand Mosque?,"Yes, they can be prayed anywhere inside the Grand Mosque when crowded."
124,Is it permissible to combine the intention of the two Tawaf rak'ahs with an obligatory prayer?,It is not recommended to combine them; each prayer should be performed with its own independent intention.
125,Can one supplicate during or between the two Tawaf rak'ahs?,Supplication is allowed between or after the two rak'ahs; during the prayer only the prescribed remembrances are said.
